Field_Number,Success,Num_Calibrators,Time_Seconds,Norm_,Tau_aod500,Alpha,Pwv_cm,Dobson_units,Temperature_C,Pressure,Center,Amplitude,Sigma,Gamma,cx0,cx1,cx2,cx3,cx4,cy0,cy1,cy2,cy3,cy4
1,1,199,24.610737,0.299997441894879,0.0806227333836965,NaN,1.47574044340516,NaN,NaN,NaN,557.342581605202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,181,20.930048,0.302387069892656,0.0857916080431082,NaN,0.784067960273658,NaN,NaN,NaN,557.190820586346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1,177,20.592563,0.3108229981995,0.0810799591832558,NaN,1.41462292844281,NaN,NaN,NaN,554.13243875837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1,175,20.528137,0.307636486296698,0.0799355201481164,NaN,1.57272467455327,NaN,NaN,NaN,556.706739682365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1,164,20.402525,0.300306035132508,0.0828429635869438,NaN,1.15931504921164,NaN,NaN,NaN,558.4182900394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1,194,20.4901,0.293818033568673,0.0827707304141792,NaN,1.17130150066907,NaN,NaN,NaN,560.619761117757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1,228,23.29398,0.293698406008624,0.0801067879323165,NaN,1.57227597536076,NaN,NaN,NaN,560.298193857871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1,273,24.100325,0.298829404965912,0.0796712239893037,NaN,1.6716359478795,NaN,NaN,NaN,560.504786830267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1,237,22.706079,0.307962644788051,0.0862492803260986,NaN,0.702612055222832,NaN,NaN,NaN,558.072541192602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1,193,20.483154,0.306799749264673,0.0856087516530179,NaN,0.789806140894737,NaN,NaN,NaN,557.625113436606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1,188,20.823936,0.297165980009461,0.086975356734805,NaN,0.636879004014448,NaN,NaN,NaN,560.056338501441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1,199,21.215628,0.29400972770991,0.0859545534694816,NaN,0.742570109889952,NaN,NaN,NaN,556.783497007251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1,245,23.238579,0.28963473740528,0.0829062436154597,NaN,1.15884712173947,NaN,NaN,NaN,557.271450575722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1,245,22.810934,0.293885168457682,0.0811669938752083,NaN,1.42661924008259,NaN,NaN,NaN,559.306219875203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1,236,21.826901,0.299670721682882,0.0857906930583701,NaN,0.758244151768662,NaN,NaN,NaN,560.924539324683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1,186,19.349566,0.301370626344558,0.0809192541497629,NaN,1.45548918482741,NaN,NaN,NaN,557.208874405819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1,157,19.838633,0.293350853559307,0.0825305667425916,NaN,1.19695759087604,NaN,NaN,NaN,558.060699743454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1,191,21.105972,0.28952429907688,0.0856815354061776,NaN,0.778759841575706,NaN,NaN,NaN,556.62888278684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1,253,24.073745,0.280786209568954,0.0868815666453204,NaN,0.632246481243716,NaN,NaN,NaN,557.968010049772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1,238,23.457808,0.285629781442084,0.0802060684900322,NaN,1.58732590632973,NaN,NaN,NaN,558.862715412352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1,244,23.579475,0.289789488622528,0.0864717644314138,NaN,0.667944615002448,NaN,NaN,NaN,557.875805547674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1,231,22.484052,0.290810244071851,0.0830141645205473,NaN,1.13867326843943,NaN,NaN,NaN,556.374657273835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,1,194,21.247808,0.283967399574853,0.0817285600245657,NaN,1.31047785218793,NaN,NaN,NaN,559.968076603547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,1,203,21.601472,0.280275115658039,0.0812269274315122,NaN,1.38358996991248,NaN,NaN,NaN,560.93548735355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
